Categoria_Amazon;Categorias_ML_Correlacionadas;Fonte;ASIN;Nome;Preço;Nota;Avaliações;Categoria_Original
Bebês;Bebês;Amazon;B08MKNH3B4;Mustela Gel Lavante Suave 750ml - Sabonete Líquido Corpo e Cabelo Infantil - 93% de Ingredientes de Origem Natural - Seguro Desde o Nascimento;84,49;4,8;10.766;Bebês
Bebês;Bebês;Amazon;B07FN7VP5Y;Fralda Descartável Huggies Máxima Proteção Tamanho P 48 unidades – Nova fralda Supreme Care com absorção especial para cocô líquido e indicador de troca. (embalagem pode variar);49,9;4,8;60.521;Bebês
Bebês;Bebês;Amazon;B08K4JSQ2M;Fralda Pampers Premium Care Pants Tamanho XG, Fácil de Vestir, 96 Unidades;148,35;4,8;8.815;Bebês
Bebês;Bebês;Amazon;B096KDKNNQ;Bepantol Baby Leve 4 Pague 3 Kit 192 Lenços Umedecidos;49,29;4,8;9.392;Bebês
Bebês;Bebês;Amazon;B0BM57KB66;Fralda Pampers Pants Ajuste Total tamanho XXG, Fácil de Vestir, 78 Unidades;118,9;4,8;2.445;Bebês
Bebês;Bebês;Amazon;B08K4L452V;Fralda Pampers Premium Care Pants Tamanho XXG, Fácil de Vestir, 90 Unidades;182,45;4,8;6.534;Bebês
Bebês;Bebês;Amazon;B07GQ136TS;Fralda Pampers Premium Care Tamanho P 40 Unidades;65,78;4,8;6.464;Bebês
Bebês;Bebês;Amazon;B07X4GVF9H;Fralda Pampers Supersequinha Tamanho G 80 Unidades;83,82;4,7;4.516;Bebês
Bebês;Bebês;Amazon;B07D2FXHM1;Granado Refil Sabonete Líquido Bebê, Tradicional, 250ml;16,17;4,9;16.967;Bebês
Bebês;Bebês;Amazon;B0CGY62F23;Lenços Umedecidos Pampers Cuidado de Bebê 192 Unidades;34,35;4,9;3.969;Bebês
Bebês;Bebês;Amazon;B08HTGRMD3;Fralda Pampers Splashers Para Nadar Baby Shark Tamanho XG 10 Unidades;38,97;4,8;1.663;Bebês
Bebês;Bebês;Amazon;B0BKLNG66P;Huggies Fralda Pants Premium Natural Care XG - 56 Fraldas;73,99;4,6;2.958;Bebês
Bebês;Bebês;Mercado Livre;MLB17335729;Fralda Pampers Pants Ajuste Total Mega Tamanho M 42 Unidades;78,90;4,9;26827.0;Bebês
Bebês;Bebês;Mercado Livre;MLB19137587;Fralda Descartável Huggies Máxima Proteção Tamanho Xxg 140 Unidades Nova Supreme Care Fralda Aberta Com Tecnologia Xtra-flex, Canais Em X Que Se Adaptam Aos Movimentos E Máxima Proteção;219,00;4,9;19785.0;Bebês
Bebês;Bebês;Mercado Livre;MLB14810820;Luva Nitrílica Azul Talge Antiderrapante Hipoalergênica Tamanho P 100 Unidades;25,62;4,8;21957.0;Bebês
Bebês;Bebês;Mercado Livre;MLB18392802;Pack Toalha Umedecida Disney Baby Huggies Max Clean Pacote 4 Unidades Leve Mais Pague Menos;44,90;4,9;8253.0;Bebês
Bebês;Bebês;Mercado Livre;MLB17336057;Fraldas Pampers Recém-nascido Tamanho Rn+ 36 Unidades;58,80;4,9;22066.0;Bebês
Bebês;Bebês;Mercado Livre;MLB18617509;Creatina Turbo Refil 500 G Black Skull;34,85;4,7;115026.0;Bebês
Bebês;Bebês;Mercado Livre;MLB18643759;Fralda Pampers Premium Care Pants Tamanho M 78 Unidades;114,90;4,9;6758.0;Bebês
Bebês;Bebês;Mercado Livre;MLB18715378;Fralda Pom Pom Protek Proteção De Mãe Mega G 42 Unidades Gênero Sem Gênero;38,56;4,9;17443.0;Bebês
Bebês;Bebês;Mercado Livre;MLB17336011;Fraldas Descartáveis Pampers Supersec Tamanho Xg 68 Unidades;159,44;4,8;23163.0;Bebês
Bebês;Bebês;Mercado Livre;MLB36936074;Kit Alimentação Infantil 8 Peças Rosa Silicone Bpa Free Introdução Alimentar;61,90;4,8;6985.0;Bebês
Bebês;Bebês;Mercado Livre;MLB34238678;Kit Sabonete Hidratante Em Barra Dove 90g Com 6 Unidades;69,40;4,9;8310.0;Bebês
Bebês;Bebês;Mercado Livre;MLB47134935;Barra Extensor P/ Portão 69cm Pet Aramado 5 Cm Caes Cor Branco;27,80;4,6;15324.0;Bebês
Bebês;Bebês;Mercado Livre;MLB17336172;Fraldas Pampers Confort Sec M X 70 Unidades Sem Gênero;116,98;4,9;31520.0;Bebês
Bebês;Bebês;Mercado Livre;MLB64318626;Saida De Maternidade Menina Salmão Floral 05 Pompom Cor Vermelho Com Creme Tamanho P;59,76;4,8;5783.0;Bebês
Bebês;Bebês;Mercado Livre;MLB23656109;Lenços Umedecidos Pampers Aroma De Aloe Vera, 192 Unidades;49,90;4,9;7121.0;Bebês
Bebês;Bebês;Mercado Livre;MLB24214299;Burigotto Poke Cadeira De Alimentação Bebê Cor Verde Frosty Green;275,40;4,9;11918.0;Bebês
Bebês;Bebês;Mercado Livre;MLB17875892;Sabonete Líquido De Glicerina Granado Bebê Tradicional 500ml;34,06;4,9;4389.0;Bebês
